Section,Title,Description,Example Queries,Keywords,LawType,Domain,Intent
66 (IT Act),Computer related offences,Unauthorized access data theft and malware related offences.,"What is Section 66 IT Act?; Is hacking punishable?; Can data theft be prosecuted?; Real cases?; Difference from Section 43?","hacking, data theft, malware",Cyber Law,IT Act Offences,Intentional
66B (IT Act),Receiving stolen computer resource,Dishonestly receiving stolen digital devices or data.,"What if I buy stolen laptop?; Is using hacked data punishable?; Section 66B punishment?; Real cases?; Difference from IPC theft?","stolen data, device, IT Act",Cyber Law,IT Act Offences,Intentional
66C (IT Act),Identity theft,Using another person’s identity credentials fraudulently.,"What if someone uses my Aadhaar?; Is credit card misuse identity theft?; Can social media hacking be punished?; Examples?; Difference from impersonation?","identity theft, password, credentials",Cyber Law,IT Act Offences,Intentional
66D (IT Act),Cheating by personation using computer,Impersonation using digital means for cheating.,"Fake Instagram scams, what law applies?; Is phishing covered?; Difference between IPC 420 and 66D?; Real cases?; Can impersonation be punished?","impersonation, phishing, scam",Cyber Law,IT Act Offences,Intentional
66E (IT Act),Violation of privacy,Capturing or transmitting private images without consent.,"Is leaking private photos punishable?; What about hidden camera?; Section 66E examples?; Difference from voyeurism?; Real cases?","privacy, images, consent",Cyber Law,IT Act Offences,Intentional
66F (IT Act),Cyber terrorism,Cyber acts threatening national security or sovereignty.,"Is hacking govt sites terrorism?; Section 66F punishment?; Difference from normal hacking?; Real cases?; What qualifies as cyber terrorism?","cyber terrorism, security",Cyber Law,National Security,Intentional
67 (IT Act),Publishing obscene material online,Publishing or transmitting obscene content electronically.,"Is sharing obscene videos punishable?; WhatsApp forwards illegal?; Section 67 cases?; What counts as obscene?; Real examples?","obscene, online, content",Cyber Law,IT Act Offences,Intentional
67A (IT Act),Publishing sexually explicit content,Publishing sexually explicit electronic content.,"Is sharing porn punishable?; Section 67A punishment?; Real cases?; Difference from 67?; Online content laws?","sexual content, explicit, online",Cyber Law,IT Act Offences,Intentional
67B (IT Act),Child pornography,Publishing or browsing child sexual content online.,"Is downloading child porn illegal?; Punishment under 67B?; Real cases?; Difference between viewing and sharing?; WhatsApp group liability?","child porn, abuse, online",Cyber Law,Offences Against Children,Intentional
Article 12,Definition of State,Defines the term 'State' for application of Fundamental Rights.,"What is Article 12 of the Constitution of India?; Explain the meaning of State under Article 12.; Which bodies are included under Article 12?; Why is Article 12 important for Fundamental Rights?; Case laws related to Article 12.","constitution,state,fundamental rights",Constitutional Law,Fundamental Rights,Informational
Article 13,Laws Inconsistent with Fundamental Rights,Declares laws void if they violate Fundamental Rights.,"What is Article 13 of the Indian Constitution?; What happens if a law violates Fundamental Rights under Article 13?; Explain doctrine of judicial review under Article 13.; Difference between Article 13 and Article 14.; Case laws under Article 13.","judicial review,fundamental rights,law",Constitutional Law,Fundamental Rights,Informational
Article 14,Right to Equality,Guarantees equality before law and equal protection of laws.,"What is Article 14 – Right to Equality?; Explain equality before law under Article 14.; Difference between equality before law and equal protection of laws.; Case examples under Article 14.; What is reasonable classification under Article 14?","equality,fundamental rights,law",Constitutional Law,Fundamental Rights,Informational
Article 19,Freedom Rights,Provides six freedoms including speech and expression.,"What is Article 19 of the Constitution of India?; What freedoms are guaranteed under Article 19?; What are reasonable restrictions under Article 19?; Difference between Article 19 and Article 21.; Case laws related to freedom of speech under Article 19.","freedom,speech,expression",Constitutional Law,Fundamental Rights,Informational
Article 21,Right to Life and Personal Liberty,Guarantees protection of life and personal liberty.,"What is Article 21 – right to life?; Explain scope of personal liberty under Article 21.; What rights are included under Article 21?; Case laws expanding Article 21.; Difference between Article 20 and Article 21.","life,liberty,fundamental rights",Constitutional Law,Fundamental Rights,Informational
Article 21A,Right to Education,Provides free and compulsory education to children aged 6–14 years.,"What is Article 21A of the Constitution?; Who gets benefit under Article 21A?; Explain right to education in India.; Case laws under Article 21A.; Difference between Article 21 and Article 21A.","education,children,right",Constitutional Law,Fundamental Rights,Informational
Article 25,Freedom of Religion,Guarantees freedom of conscience and religion.,"What is Article 25 of the Constitution?; Explain freedom of religion under Article 25.; What are restrictions under Article 25?; Case laws under Article 25.; Difference between Article 25 and Article 26.","religion,freedom,rights",Constitutional Law,Fundamental Rights,Informational
Article 32,Right to Constitutional Remedies,Allows individuals to approach Supreme Court for enforcement of rights.,"What is Article 32 – right to constitutional remedies?; Why is Article 32 called the heart of the Constitution?; What writs are available under Article 32?; Case laws under Article 32.; Difference between Article 32 and Article 226.","remedies,rights,supreme court",Constitutional Law,Fundamental Rights,Actionable
Article 36,Directive Principles Definition,Defines Directive Principles of State Policy.,"What is Article 36 of the Constitution?; Explain Directive Principles under Article 36.; Difference between Fundamental Rights and DPSP.; Importance of Article 36.; Case laws related to DPSP.","directive principles,state policy",Constitutional Law,Directive Principles,Informational
Article 38,State to Secure Social Order,Promotes welfare of the people.,"What is Article 38 of the Constitution?; Explain social justice under Article 38.; Role of State under Article 38.; Case examples under Article 38.; Importance of Directive Principles.","social justice,welfare,state",Constitutional Law,Directive Principles,Informational
Article 44,Uniform Civil Code,Promotes uniform civil laws across India.,"What is Article 44 – Uniform Civil Code?; Why is UCC important under Article 44?; Case laws related to UCC.; Debate on Article 44 in India.; Difference between personal law and UCC.","uniform civil code,law,society",Constitutional Law,Directive Principles,Exploratory
Article 51A,Fundamental Duties,Lists duties of citizens of India.,"What are Fundamental Duties under Article 51A?; Explain duties of citizens under Article 51A.; Are Fundamental Duties enforceable?; Case laws related to Article 51A.; Importance of Fundamental Duties.","duties,citizens,constitution",Constitutional Law,Fundamental Duties,Informational
Article 52,President of India,Provides for the office of the President.,"What is Article 52 of the Constitution?; Role of President under Article 52.; Powers of President of India.; Difference between Article 52 and Article 53.; Case laws related to President powers.","president,executive,government",Constitutional Law,Executive,Informational
Article 74,Council of Ministers,Advises the President in governance.,"What is Article 74 of the Constitution?; Role of Council of Ministers under Article 74.; Binding advice under Article 74.; Case laws under Article 74.; Difference between Article 74 and 75.","council of ministers,executive",Constitutional Law,Executive,Informational
Article 75,Prime Minister and Council of Ministers,Deals with appointment and responsibilities.,"What is Article 75 of the Constitution?; Role of Prime Minister under Article 75.; Collective responsibility under Article 75.; Case examples under Article 75.; Difference between Article 74 and 75.","prime minister,government,executive",Constitutional Law,Executive,Informational
Article 79,Parliament of India,Establishes Parliament structure.,"What is Article 79 of the Constitution?; Structure of Parliament under Article 79.; Role of Lok Sabha and Rajya Sabha.; Case laws under Article 79.; Importance of Parliament.","parliament,legislature",Constitutional Law,Legislature,Informational
Article 124,Supreme Court of India,Provides establishment of Supreme Court.,"What is Article 124 of the Constitution?; Composition of Supreme Court under Article 124.; Appointment of judges under Article 124.; Case laws under Article 124.; Role of Supreme Court.","supreme court,judiciary",Constitutional Law,Judiciary,Informational
Article 226,Power of High Courts to Issue Writs,Allows High Courts to enforce rights.,"What is Article 226 of the Constitution?; Powers of High Courts under Article 226.; Difference between Article 32 and 226.; Types of writs under Article 226.; Case laws under Article 226.","high court,writs,rights",Constitutional Law,Judiciary,Actionable
Article 368,Amendment of Constitution,Provides procedure to amend Constitution.,"What is Article 368 of the Constitution?; How can the Constitution be amended under Article 368?; Basic structure doctrine under Article 368.; Case laws related to amendments.; Difference between ordinary law and constitutional amendment.","amendment,constitution,law",Constitutional Law,Amendment Process,Exploratory
CPC Section 9,Jurisdiction of Civil Courts,Civil courts have the authority to hear all civil disputes unless specifically barred by law including property contracts family and recovery matters,"Can I file a civil case in court?; What types of cases can civil courts hear?; What is jurisdiction under CPC?; Can a civil court refuse a case?; Which court handles civil disputes in India?; Can I go to court for property dispute?","civil court jurisdiction India,CPC section 9 jurisdiction,types of civil cases India,property dispute court India,contract dispute court India,civil suit filing India,which court to approach civil case,legal jurisdiction meaning India,court powers civil law India,civil rights enforcement court",Civil Law,Procedure,Right
CPC Order 7 Rule 1,Plaint Requirements,A plaint is the first document filed in a civil case and must include parties facts cause of action and relief sought,"What should be included in a plaint?; How to file a civil suit?; What documents are required in a civil case?; Format of plaint under CPC?; What happens if plaint is incomplete?; How to draft a plaint in India?","plaint requirements CPC,order 7 rule 1 plaint,how to file civil suit India,documents for civil case filing,plaint format India legal,drafting plaint India,legal pleading basics India,civil procedure filing rules India,plaint rejection reasons India,court filing documents India",Civil Law,Procedure,Definition
CPC Order 39,Temporary Injunctions,A temporary injunction is a court order to stop a party from doing an act to prevent harm until final judgment,"How to get a stay order in civil case?; What is temporary injunction?; Can court stop construction temporarily?; Example of injunction cases?; Difference between stay and injunction?; How to prevent property damage through court?","temporary injunction India,stay order civil court,CPC order 39 injunction,interim relief court India,stop construction court order India,legal protection order civil case,injunction meaning India,court restriction order India,property dispute injunction India,emergency court relief India",Civil Law,Remedy,Remedy
Indian Contract Act Section 10,What Agreements are Contracts,Defines essential elements like free consent lawful consideration and lawful object required for a valid contract,"What makes a contract legally valid?; Essentials of valid contract in India?; Can verbal agreement be a contract?; What is lawful consideration?; Examples of valid contracts?; What makes agreement enforceable?","valid contract India,contract essentials law,agreement enforceable India,free consent contract,lawful consideration meaning,Indian Contract Act section 10,legal agreement validity India,contract rules India,verbal contract legality India,contract formation requirements India",Civil Law,Contract Law,Definition
Indian Contract Act Section 11,Who are Competent to Contract,Explains that only persons of majority sound mind and not disqualified by law can contract,"Can a minor enter into contract?; Who is eligible to sign contract?; Is contract with minor valid?; What is competency in contract law?; Examples of invalid contracts?; Who cannot enter into contract?","competent to contract India,minor contract law India,contract eligibility India,Indian Contract Act section 11,legal capacity contract India,who can sign contract India,invalid contract cases India,contract parties eligibility India,agreement with minor law India,contract rules eligibility India",Civil Law,Contract Law,Restriction
Indian Contract Act Section 17,Fraud,Defines fraud as intentional deception to induce another into a contract making it voidable,"What is fraud in contract law?; Can I cancel contract due to fraud?; Examples of fraud in agreements?; Difference between fraud and misrepresentation?; Legal remedy for fraud?; What happens after contract fraud?","fraud in contract India,Indian Contract Act section 17,contract fraud examples India,misrepresentation vs fraud India,voidable contract fraud India,legal remedy fraud contract India,cheating in agreement law India,fraudulent agreement India,cancel contract fraud India,contract law fraud India",Civil Law,Contract Law,Remedy
Indian Contract Act Section 18,Misrepresentation,Defines false statements made without intent to deceive that lead to a contract and make it voidable,"What is misrepresentation in contract?; Difference between fraud and misrepresentation?; Can I cancel agreement due to false info?; Examples of misrepresentation?; Remedies available?; What is innocent misrepresentation?","misrepresentation contract India,false statement law India,Indian Contract Act section 18,voidable agreement misrepresentation India,contract false info remedy India,legal misrepresentation India,agreement invalid reason India,contract law misstatement India,remedy misrepresentation India,contract dispute India",Civil Law,Contract Law,Remedy
Indian Contract Act Section 73,Compensation for Breach,Provides compensation for losses caused due to breach of contract based on actual damage,"What happens if contract is broken?; Can I claim damages?; How is compensation calculated?; Examples of breach of contract?; Legal remedies for breach?; Can I recover financial loss?","breach of contract compensation India,damages contract India,Indian Contract Act section 73,loss recovery contract India,contract violation remedy India,legal damages India,agreement breach law India,compensation calculation contract India,civil suit breach contract India,contract dispute remedy India",Civil Law,Contract Law,Remedy
Transfer of Property Act Section 5,Transfer of Property Defined,Defines transfer of property as conveyance of ownership from one living person to another,"What is transfer of property?; How can property be legally transferred?; Examples of property transfer?; Does gift count as transfer?; Legal rules for property transfer?; What is ownership transfer law?","transfer of property definition India,property transfer India,TPA section 5,ownership transfer rules India,legal property transfer India,gift property law India,immovable property transfer India,property ownership change India,transfer deed law India,real estate law India",Civil Law,Property Law,Definition
Transfer of Property Act Section 54,Sale of Property,Defines sale as transfer of ownership in exchange for price and requires registration for immovable property,"What is property sale under law?; Is registration required for sale?; Difference between sale and agreement to sell?; Property sale legal requirements?; Examples of property disputes?; Is sale deed mandatory?","sale of property law India,TPA section 54,property registration India,ownership transfer sale India,agreement to sell vs sale India,real estate law India,property dispute cases India,legal sale deed India,immovable property sale rules India,property transaction law India",Civil Law,Property Law,Right
Transfer of Property Act Section 58,Mortgage,Defines mortgage as transfer of interest in property to secure repayment of loan,"What is mortgage in law?; Types of mortgage in India?; Can bank take my property if loan not paid?; Difference between mortgage and sale?; Examples of mortgage disputes?; What is home loan security law?","mortgage definition India,TPA section 58,loan against property law India,types of mortgage India,bank property seizure law India,secured loan property India,real estate mortgage rules India,property collateral law India,mortgage vs sale difference India,home loan legal rules India",Civil Law,Property Law,Definition
Transfer of Property Act Section 105,Lease of Property,Defines lease as transfer of right to enjoy property for a certain time in exchange for rent,"What is lease under property law?; Difference between rent and lease?; Tenant rights in India?; Can landlord evict tenant anytime?; Examples of lease disputes?; What is rental agreement law?","lease agreement India,TPA section 105,tenant landlord law India,property lease rules India,rent vs lease difference India,tenant rights India,eviction law landlord India,lease contract terms India,rental dispute law India,property tenancy rules India",Civil Law,Tenant Rights,Right
Specific Relief Act Section 10,Specific Performance,Court may order a party to perform contractual obligations instead of paying damages,"Can court force someone to complete contract?; What is specific performance?; Examples of property contract enforcement?; When is specific performance granted?; Difference between damages and performance?; Can court enforce agreement?","specific performance contract India,Specific Relief Act section 10,contract enforcement India,court order performance India,property agreement enforcement India,legal remedy contract breach India,damages vs performance law India,real estate contract enforcement India,civil remedy India,specific relief law India",Civil Law,Remedy,Remedy
Specific Relief Act Section 34,Declaratory Decree,Court declares legal rights of parties without granting further relief,"What is declaratory suit?; Can court declare ownership?; Examples of declaratory decree?; When to file declaration suit?; Difference between declaration and injunction?; Can court confirm legal status?","declaratory decree law India,Specific Relief Act section 34,ownership declaration court India,legal rights declaration India,civil suit declaration India,property ownership dispute law India,injunction vs declaration India,court declaration meaning India,legal status declaration suit India,civil remedy declaration India",Civil Law,Remedy,Right
Companies Act 2013 Section 3,Formation of Company,Defines how a company can be legally formed including types of companies and minimum requirements,"How to register a company in India?; What is required to form a company?; Minimum members needed to start a company?; Types of companies under Companies Act?; Process of company incorporation in India?; Can one person start a company?","company formation India,Companies Act section 3,how to start company India,incorporation process India,private limited company rules,one person company India,company registration requirements India,business formation law India,corporate entity formation India,startup legal registration India",Other,Corporate Law,Definition
Companies Act 2013 Section 7,Incorporation of Company,Provides procedure for incorporation including filing documents with Registrar of Companies,"What documents are required for company incorporation?; How to incorporate company in India?; What is ROC filing process?; Can company registration be rejected?; Steps to register private limited company?; How long does incorporation take?","company incorporation India,Companies Act section 7,ROC filing India,company registration documents India,incorporation procedure India,private limited company registration India,corporate compliance India,business registration law India,startup incorporation India,legal process company India",Other,Corporate Law,Actionable
Companies Act 2013 Section 12,Registered Office of Company,Requires every company to have a registered office for communication and legal notices,"Is registered office mandatory for company?; Can company change registered address?; What is registered office under Companies Act?; How to update company address?; Legal importance of registered office?; Can home address be company office?","registered office company India,Companies Act section 12,company address rules India,change registered office India,corporate compliance address India,legal notice address company,ROC address update India,company communication address India,business location law India,corporate office requirement India",Other,Corporate Law,Right
Companies Act 2013 Section 73,Prohibition on Acceptance of Deposits,Restricts companies from accepting public deposits without compliance,"Can company take deposits from public?; What are rules for company deposits?; Is taking deposit from public legal?; Penalty for illegal deposits?; Difference between loan and deposit in company law?; Can private company accept deposits?","company deposits law India,Companies Act section 73,public deposit restriction India,corporate finance rules India,illegal deposit penalty India,company borrowing rules India,private company deposit law India,deposit vs loan company India,financial compliance company India,corporate funding rules India",Other,Corporate Law,Restriction
Companies Act 2013 Section 149,Board of Directors,Specifies composition and requirements of board of directors,"How many directors are required in company?; What is board of directors role?; Can one person be director?; Requirements for independent director?; Who appoints directors in company?; What is minimum directors rule?","board of directors India,Companies Act section 149,minimum directors company India,independent director rules India,company management structure India,corporate governance India,director appointment India,role of directors company India,company leadership law India,corporate board rules India",Other,Corporate Law,Definition
Companies Act 2013 Section 164,Disqualification of Directors,Lists conditions under which a person cannot be appointed as director,"Who cannot become director in company?; What disqualifies a director?; Can bankrupt person be director?; Rules for director eligibility India?; What happens if director is disqualified?; Can disqualified director be reappointed?","director disqualification India,Companies Act section 164,who can be director India,corporate governance rules India,bankrupt director restriction India,director eligibility law India,company law restrictions directors India,corporate compliance director India,disqualified director rules India,board eligibility India",Other,Corporate Law,Restriction
Companies Act 2013 Section 166,Duties of Directors,Defines duties and responsibilities of company directors towards company and shareholders,"What are duties of directors in company?; Can director misuse power?; Legal responsibility of company directors?; What happens if director breaches duty?; Examples of director misconduct?; Can director be sued?","duties of directors India,Companies Act section 166,corporate governance duties India,director responsibility law India,breach of duty director India,company management ethics India,legal liability directors India,shareholder protection law India,corporate accountability India,board responsibility India",Other,Corporate Law,Right
Companies Act 2013 Section 177,Audit Committee,Requires certain companies to form audit committee for financial oversight,"What is audit committee in company?; Which companies need audit committee?; Role of audit committee India?; Is audit committee mandatory?; What are functions of audit committee?; Corporate governance audit rules?","audit committee India,Companies Act section 177,corporate audit rules India,financial oversight company India,mandatory audit committee India,company compliance audit India,corporate governance audit India,internal control company India,audit regulation India,board committee rules India",Other,Corporate Law,Definition
Companies Act 2013 Section 245,Class Action Suits,Allows shareholders to file class action against company for fraud or mismanagement,"Can shareholders sue company together?; What is class action suit in India?; How to file class action case?; Examples of shareholder lawsuits?; Rights of minority shareholders?; Can investors claim damages?","class action suit India,Companies Act section 245,shareholder rights India,minority shareholder protection India,corporate fraud lawsuit India,investor protection law India,company mismanagement legal remedy India,collective legal action India,corporate litigation India,shareholder remedy India",Other,Corporate Law,Remedy
Insolvency and Bankruptcy Code Section 7,Initiation of CIRP by Financial Creditor,Allows financial creditors to initiate insolvency proceedings against defaulting company,"How can bank file insolvency case?; What is CIRP under IBC?; When can creditor file insolvency?; Process of insolvency application India?; Examples of corporate insolvency cases?; What happens after default?","IBC section 7 India,corporate insolvency process India,financial creditor rights India,bankruptcy filing company India,default loan insolvency India,CIRP process India,corporate debt recovery India,insolvency application law India,creditor remedy IBC India,company default law India",Other,Insolvency Law,Remedy
Insolvency and Bankruptcy Code Section 9,Initiation by Operational Creditor,Allows operational creditors like suppliers to start insolvency process for unpaid dues,"Can supplier file insolvency case?; What is operational creditor under IBC?; How to recover unpaid invoice legally?; Steps to initiate insolvency?; Examples of vendor disputes insolvency?; What is demand notice under IBC?","IBC section 9 India,operational creditor rights India,unpaid invoice recovery India,corporate insolvency filing India,supplier legal remedy India,demand notice IBC India,credit recovery law India,business debt recovery India,insolvency process supplier India,company default remedy India",Other,Insolvency Law,Remedy
Insolvency and Bankruptcy Code Section 14,Moratorium,Declares moratorium period during insolvency where legal actions against company are stayed,"What is moratorium under IBC?; Can legal cases continue during insolvency?; What happens to company during moratorium?; Can creditors recover money during moratorium?; Duration of moratorium India?; Effect of moratorium on lawsuits?","IBC section 14 moratorium India,insolvency stay period India,legal action suspension company India,creditor restriction insolvency India,corporate insolvency protection India,bankruptcy moratorium law India,debt recovery stay India,company protection period IBC India,insolvency proceedings effect India,corporate restructuring law India",Other,Insolvency Law,Restriction
Insolvency and Bankruptcy Code Section 30,Resolution Plan,Provides for submission and approval of resolution plan to revive company,"What is resolution plan under IBC?; How is company revived after insolvency?; Who approves resolution plan?; Can creditors reject plan?; Examples of company restructuring India?; What happens if plan fails?","IBC section 30 India,resolution plan insolvency India,corporate restructuring India,company revival law India,creditor approval process India,insolvency resolution India,business recovery plan India,financial restructuring company India,corporate debt resolution India,IBC resolution process India",Other,Insolvency Law,Remedy
Insolvency and Bankruptcy Code Section 33,Liquidation,Provides procedure for liquidation of company when resolution fails,"What happens when company is liquidated?; How does liquidation process work?; Who gets paid first in liquidation?; Can company be closed legally?; Examples of liquidation cases India?; Difference between insolvency and liquidation?","IBC section 33 liquidation India,company winding up India,corporate liquidation process India,creditor payment priority India,company closure law India,business shutdown legal process India,insolvency liquidation difference India,asset distribution law India,bankruptcy liquidation India,corporate dissolution India",Other,Insolvency Law,Penalty
Competition Act Section 3,Anti Competitive Agreements,Prohibits agreements that cause adverse effect on competition,"What are anti competitive agreements?; Is price fixing illegal in India?; Can companies collude on pricing?; Examples of cartel cases India?; What is competition law violation?; Penalty for anti competitive practices?","Competition Act section 3 India,anti competitive agreements India,price fixing law India,cartel regulation India,business competition law India,market abuse law India,competition commission India rules,corporate collusion law India,trade restriction law India,antitrust law India",Other,Competition Law,Restriction
Competition Act Section 4,Abuse of Dominant Position,Prohibits misuse of dominant market position by companies,"What is abuse of dominance?; Can big company control market unfairly?; Examples of monopoly abuse India?; What is dominant position law?; Penalty for abusing market power?; How to complain against monopoly?","Competition Act section 4 India,abuse of dominance India,monopoly law India,market power abuse India,competition law violation India,big company unfair practices India,antitrust enforcement India,consumer protection competition India,business monopoly regulation India,CCI complaint law India",Other,Competition Law,Restriction
Competition Act Section 6,Regulation of Combinations,Regulates mergers and acquisitions to prevent harm to competition,"Do mergers need approval in India?; What is combination under Competition Act?; Rules for company merger India?; Can acquisition be blocked?; Examples of merger cases India?; When to notify CCI?","Competition Act section 6 India,merger regulation India,acquisition approval India,CCI merger rules India,corporate combination law India,business merger compliance India,competition authority India rules,antitrust merger control India,company acquisition law India,market competition protection India",Other,Competition Law,Restriction
Income Tax Act 1961 Section 2,Definitions,Provides key definitions such as income assessee person and assessment year used throughout tax law,"What is income under Income Tax Act?; Who is considered an assessee?; What is assessment year and financial year?; Meaning of person in tax law?; Basic definitions in income tax India?; How is income defined legally?","income tax definitions India,section 2 income tax act,assessee meaning India,assessment year vs financial year,person definition tax law India,income definition legal India,tax terminology India,basic tax concepts India,income tax keywords India,legal definitions taxation India",Other,Taxation Law,Definition
Income Tax Act 1961 Section 4,Charge of Income Tax,Establishes that income tax is charged on total income of a person for a financial year,"Who has to pay income tax in India?; What is charge of income tax?; How is tax calculated on income?; When does income become taxable?; Who is liable for income tax?; Basic rule of taxation in India?","charge of income tax India,section 4 income tax act,tax liability India,total income tax rule India,who pays income tax India,income tax applicability India,tax calculation basics India,direct tax law India,income taxation India rules,taxpayer liability India",Other,Taxation Law,Right
Income Tax Act 1961 Section 5,Scope of Total Income,Defines what income is taxable in India including global income for residents,"What income is taxable in India?; Do I need to pay tax on foreign income?; What is scope of total income?; Difference between resident and non resident tax?; Is foreign salary taxable in India?; What income is included for tax calculation?","scope of income tax India,section 5 income tax act,global income taxation India,resident vs non resident tax India,foreign income tax India,total income calculation India,taxable income India rules,international income tax India,income inclusion tax India,tax jurisdiction India",Other,Taxation Law,Definition
Income Tax Act 1961 Section 10,Income Exempt from Tax,Lists incomes that are exempt from income tax such as agricultural income and certain allowances,"Which income is tax free in India?; What is exempt income?; Is agricultural income taxable?; Which allowances are tax free?; Examples of tax exemptions India?; How to reduce taxable income legally?","tax exempt income India,section 10 income tax act,agricultural income tax free India,allowances exemption India,income tax exemptions list India,tax saving income India,non taxable income India rules,exemptions income tax India,legal tax benefits India,tax free earnings India",Other,Taxation Law,Right
Income Tax Act 1961 Section 80C,Deductions for Investments,Allows deductions for specified investments like LIC PPF ELSS up to prescribed limit,"How to save tax under 80C?; What investments are allowed for tax deduction?; Is LIC premium tax deductible?; Maximum deduction under 80C?; How to reduce taxable income using 80C?; Examples of tax saving investments?","section 80C deductions India,tax saving investments India,PPF LIC ELSS deduction India,income tax deduction 80C limit India,reduce taxable income India,tax planning India section 80C,investment tax benefit India,life insurance tax deduction India,public provident fund tax India,ELSS tax saving India",Other,Taxation Law,Right
Income Tax Act 1961 Section 139,Return of Income,Requires filing of income tax return by individuals and entities based on income threshold,"Who needs to file income tax return?; What is ITR filing?; Due date for income tax return India?; What happens if I don’t file ITR?; How to file income tax return online?; Is filing ITR mandatory?","ITR filing India,section 139 income tax act,income tax return rules India,due date ITR India,online tax filing India,mandatory ITR filing India,late filing penalty India,tax compliance India return,taxpayer filing obligation India,income reporting India",Other,Taxation Law,Actionable
Income Tax Act 1961 Section 234F,Penalty for Late Filing,Provides penalty for delay in filing income tax return beyond due date,"What is penalty for late ITR filing?; How much fine for missing tax deadline?; Can penalty be avoided?; What happens if I file ITR late?; Examples of late filing penalty?; Is there grace period for ITR?","late ITR penalty India,section 234F income tax act,delay filing tax fine India,penalty late return India,ITR deadline penalty India,tax compliance penalty India,late filing charges India,income tax fine India,return filing delay law India,penalty rules tax India",Other,Taxation Law,Penalty
Income Tax Act 1961 Section 271C,Penalty for Failure to Deduct TDS,Imposes penalty for not deducting or paying tax deducted at source,"What happens if TDS is not deducted?; Penalty for not depositing TDS?; Who is responsible for TDS?; Can employer be fined for TDS default?; Examples of TDS penalty cases?; How to avoid TDS penalty?","TDS penalty India,section 271C income tax act,not deducting TDS penalty India,employer TDS responsibility India,tax deduction at source rules India,TDS default consequences India,penalty for TDS non compliance India,tax withholding law India,TDS filing rules India,source deduction law India",Other,Taxation Law,Penalty
CGST Act 2017 Section 7,Supply under GST,Defines supply of goods or services which is taxable under GST,"What is supply under GST?; When is GST applicable?; What transactions attract GST?; Difference between goods and services under GST?; Examples of taxable supply?; Is free supply taxable?","GST supply definition India,CGST section 7 supply,taxable supply GST India,goods vs services GST India,GST applicability India rules,indirect tax supply law India,transaction tax GST India,supply meaning GST India,GST law basics India,taxable event GST India",Other,Taxation Law,Definition
CGST Act 2017 Section 9,Levy and Collection of GST,Provides for levy of GST on intra state supply of goods and services,"How is GST charged in India?; Who collects GST?; What is GST rate application?; When do I need to charge GST?; Who is liable to pay GST?; How GST is calculated?","GST levy India,CGST section 9 tax,collection of GST India,GST rate application India,indirect tax system India,who pays GST India,GST calculation rules India,goods services tax law India,tax collection mechanism India,indirect taxation India",Other,Taxation Law,Right
CGST Act 2017 Section 22,Registration under GST,Requires businesses crossing turnover threshold to register under GST,"Who needs GST registration?; What is GST threshold limit?; Is GST mandatory for small business?; How to register for GST?; Penalty for not registering under GST?; Can I run business without GST?","GST registration India,CGST section 22 registration,GST threshold limit India,business GST compliance India,mandatory GST registration India,online GST registration India,small business GST rules India,GST law registration India,tax registration requirement India,indirect tax compliance India",Other,Taxation Law,Actionable
CGST Act 2017 Section 54,Refund of Tax,Provides procedure to claim refund of excess GST paid,"How to claim GST refund?; When can I get GST refund?; Process of GST refund India?; What documents needed for refund?; Examples of GST refund cases?; How long refund takes?","GST refund India,CGST section 54 refund,claim GST refund process India,excess tax refund India,GST return refund India,tax refund law India,indirect tax refund India,GST compliance refund India,refund application GST India,goods services tax refund rules India",Other,Taxation Law,Remedy
Customs Act 1962 Section 12,Dutiable Goods,Imposes customs duty on goods imported into or exported from India,"What is customs duty in India?; Which goods attract customs duty?; How is import duty calculated?; Do I pay tax on imported goods?; Examples of customs duty charges?; What is export duty?","customs duty India,Customs Act section 12,import export tax India,dutiable goods India,import duty calculation India,export duty rules India,international trade tax India,customs law India,goods import taxation India,border tax India",Other,Taxation Law,Right
Customs Act 1962 Section 46,Entry of Goods on Importation,Requires importer to file bill of entry for imported goods,"What is bill of entry?; How to clear imported goods in India?; Documents required for import clearance?; What happens if bill of entry not filed?; Process of customs clearance India?; Import procedure India law?","bill of entry India,Customs Act section 46,import clearance India,customs documentation India,import procedure law India,goods entry customs India,shipping clearance India,import legal compliance India,international trade documentation India,customs filing rules India",Other,Taxation Law,Actionable
Factories Act 1948 Section 2,Definitions,Defines key terms like factory worker occupier and manufacturing process under the Act,"What is a factory under Indian law?;What is considered a manufacturing process legally?;Who is an occupier in factory law?;Who qualifies as a factory worker?","factory definition India;manufacturing process legal meaning India;occupier factory act meaning;worker definition factory act;what is factory under Factories Act",Factories Act,Factory Compliance,Definition
Factories Act 1948 Section 7,Approval Licensing and Registration,Requires mandatory approval and registration before operating a factory,"Do I need license to start a factory in India?;How to register factory under Factories Act?;Can I run factory without registration?;What happens if factory is unlicensed?","factory registration process India;factory license mandatory India;industrial approval requirements;factory setup legal rules India;unregistered factory penalty",Factories Act,Factory Compliance,Compliance
Factories Act 1948 Section 11,Cleanliness,Ensures hygienic and clean working environment inside factories,"What are cleanliness rules in factories?;Can workers complain about dirty factory?;Employer hygiene responsibility law India;Factory sanitation requirements","factory hygiene rules India;workplace cleanliness law;industrial sanitation standards India;employee health safety cleanliness;factory inspection hygiene",Factories Act,Workplace Safety,Right
